icb_name,nhs_region
NHS North East and North Cumbria Integrated Care Board,North East and Yorkshire
NHS Humber and North Yorkshire Integrated Care Board,North East and Yorkshire
NHS West Yorkshire Integrated Care Board,North East and Yorkshire
NHS South Yorkshire Integrated Care Board,North East and Yorkshire
NHS Lancashire and South Cumbria Integrated Care Board,North West
NHS Greater Manchester Integrated Care Board,North West
NHS Cheshire and Merseyside Integrated Care Board,North West
NHS Staffordshire and Stoke-on-Trent Integrated Care Board,Midlands
"NHS Shropshire, Telford and Wrekin Integrated Care Board",Midlands
NHS Derby and Derbyshire Integrated Care Board,Midlands
NHS Nottingham and Nottinghamshire Integrated Care Board,Midlands
NHS Lincolnshire Integrated Care Board,Midlands
"NHS Leicester, Leicestershire and Rutland Integrated Care Board",Midlands
NHS Northamptonshire Integrated Care Board,Midlands
NHS Birmingham and Solihull Integrated Care Board,Midlands
NHS Black Country Integrated Care Board,Midlands
NHS Coventry and Warwickshire Integrated Care Board,Midlands
NHS Herefordshire and Worcestershire Integrated Care Board,Midlands
NHS Cambridgeshire and Peterborough Integrated Care Board,East of England
NHS Norfolk and Waveney Integrated Care Board,East of England
NHS Suffolk and North East Essex Integrated Care Board,East of England
"NHS Bedfordshire, Luton and Milton Keynes Integrated Care Board",East of England
NHS Hertfordshire and West Essex Integrated Care Board,East of England
NHS Mid and South Essex Integrated Care Board,East of England
NHS North Central London Integrated Care Board,London
NHS North East London Integrated Care Board,London
NHS North West London Integrated Care Board,London
NHS South East London Integrated Care Board,London
NHS South West London Integrated Care Board,London
NHS Kent and Medway Integrated Care Board,South East
NHS Sussex Integrated Care Board,South East
NHS Surrey Heartlands Integrated Care Board,South East
NHS Frimley Integrated Care Board,South East
NHS Hampshire and Isle of Wight Integrated Care Board,South East
"NHS Buckinghamshire, Oxfordshire and Berkshire West Integrated Care Board",South East
"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",South West
"NHS Bath and North East Somerset, Swindon and Wiltshire Integrated Care Board",South West
NHS Gloucestershire Integrated Care Board,South West
NHS Somerset Integrated Care Board,South West
NHS Devon Integrated Care Board,South West
NHS Cornwall and the Isles of Scilly Integrated Care Board,South West
NHS Dorset Integrated Care Board,South West
