postcode,lat,lon,icb_code,icb_name,nhs_region
M1 1AE,53.4794,-2.2453,,NHS Greater Manchester Integrated Care Board,North West
M15 6JA,53.4668,-2.25,,NHS Greater Manchester Integrated Care Board,North West
M4 1HQ,53.4839,-2.235,,NHS Greater Manchester Integrated Care Board,North West
M20 2RN,53.43,-2.231,,NHS Greater Manchester Integrated Care Board,North West
M13 9PL,53.462,-2.228,,NHS Greater Manchester Integrated Care Board,North West
M2 4WU,53.481,-2.244,,NHS Greater Manchester Integrated Care Board,North West
SW1A 1AA,51.501,-0.1416,,NHS North West London Integrated Care Board,London
W2 1NY,51.515,-0.175,,NHS North West London Integrated Care Board,London
N1 9AL,51.532,-0.123,,NHS North Central London Integrated Care Board,London
EC1A 1BB,51.517,-0.097,,NHS North East London Integrated Care Board,London
E1 6AN,51.517,-0.072,,NHS North East London Integrated Care Board,London
SE1 7EH,51.503,-0.114,,NHS South East London Integrated Care Board,London
B4 7DA,52.483,-1.893,,NHS Birmingham and Solihull Integrated Care Board,Midlands
B15 2TH,52.451,-1.93,,NHS Birmingham and Solihull Integrated Care Board,Midlands
LS1 4DT,53.797,-1.547,,NHS West Yorkshire Integrated Care Board,North East and Yorkshire
LS6 2UE,53.819,-1.57,,NHS West Yorkshire Integrated Care Board,North East and Yorkshire
NE1 4ST,54.973,-1.618,,NHS North East and North Cumbria Integrated Care Board,North East and Yorkshire
NE6 5PA,54.975,-1.56,,NHS North East and North Cumbria Integrated Care Board,North East and Yorkshire
EX1 1AA,50.724,-3.527,,NHS Devon Integrated Care Board,South West
BS1 4DJ,51.453,-2.597,,"NHS Bristol, North Somerset and South Gloucestershire Integrated Care Board",South West
CB2 1TN,52.203,0.121,,NHS Cambridgeshire and Peterborough Integrated Care Board,East of England
CB1 1PT,52.199,0.135,,NHS Cambridgeshire and Peterborough Integrated Care Board,East of England
