resource_id,PHARMACY_ODS_CODE_F_CODE,PHARMACY_TRADING_NAME,ADDRESS_FIELD1,ADDRESS_FIELD2,ADDRESS_FIELD3,ADDRESS_FIELD4,POST_CODE,CONTRACT_TYPE,PHARMACY_OPENING_HOURS_MONDAY,PHARMACY_OPENING_HOURS_TUESDAY,PHARMACY_OPENING_HOURS_WEDNESDAY,PHARMACY_OPENING_HOURS_THURSDAY,PHARMACY_OPENING_HOURS_FRIDAY,PHARMACY_OPENING_HOURS_SATURDAY,PHARMACY_OPENING_HOURS_SUNDAY,WEEKLY_TOTAL
CONSOL_PHARMACY_LIST_202223Q2,FTEST01,Piccadilly Pharmacy,1 Piccadilly Gardens,Manchester,,,M1 1AE,Community,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,Closed,46.5
CONSOL_PHARMACY_LIST_202223Q2,FTEST02,Hulme Health Pharmacy,20 Boundary Lane,Manchester,,,M15 6JA,Community,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,112.0
CONSOL_PHARMACY_LIST_202223Q2,FTEST03,Northern Quarter Chemist,5 Oldham Street,Manchester,,,M4 1HQ,Community,"09:00-12:00,14:00-17:00","09:00-12:00,14:00-17:00","09:00-12:00,14:00-17:00","09:00-12:00,14:00-17:00","09:00-12:00,14:00-17:00",Closed,Closed,30.0
CONSOL_PHARMACY_LIST_202223Q2,FTEST04,Didsbury Village Pharmacy,747 Wilmslow Road,Manchester,,,M20 2RN,Community,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,Closed,46.5
CONSOL_PHARMACY_LIST_202223Q2,FTEST05,Ardwick Pharmacy,12 Hathersage Road,Manchester,,,M13 9PL,Community,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,Closed,46.5
CONSOL_PHARMACY_LIST_202223Q2,FTEST06,Westminster Pharmacy,10 The Mall,London,,,SW1A 1AA,Community,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,Closed,46.5
CONSOL_PHARMACY_LIST_202223Q2,FTEST07,Paddington Chemist,30 Praed Street,London,,,W2 1NY,Community,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,07:00-23:00,112.0
CONSOL_PHARMACY_LIST_202223Q2,FTEST08,Angel Pharmacy,40 Upper Street,London,,,N1 9AL,Community,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,Closed,46.5
CONSOL_PHARMACY_LIST_202223Q2,FTEST09,Barbican Health,2 Aldersgate Street,London,,,EC1A 1BB,Community,"09:00-12:00,14:00-17:00","09:00-12:00,14:00-17:00","09:00-12:00,14:00-17:00","09:00-12:00,14:00-17:00","09:00-12:00,14:00-17:00",Closed,Closed,30.0
CONSOL_PHARMACY_LIST_202223Q2,FTEST10,Whitechapel Appliances,80 Whitechapel Road,London,,,E1 6AN,Appliance,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-17:30,09:00-13:00,Closed,46.5
